Timestamp,SourceIP,DestinationIP,Protocol,Network_Bytes,Label
2024-09-15 12:45,192.168.1.15,54.76.23.10,TCP,100000,0
2024-09-15 12:46,192.168.1.16,145.20.33.12,UDP,350000,1
2024-09-15 12:47,192.168.1.17,54.76.23.10,TCP,20000,0
2024-09-15 12:48,192.168.1.15,45.23.18.12,TCP,50000,0
2024-09-15 12:49,192.168.1.18,145.20.33.12,UDP,500000,1
2024-09-15 12:50,192.168.1.19,54.76.23.10,TCP,15000,0
2024-09-15 12:51,192.168.1.20,175.23.43.56,TCP,450000,1
2024-09-15 12:52,192.168.1.21,54.76.23.10,UDP,30000,0
2024-09-15 12:53,192.168.1.22,54.76.23.10,TCP,250000,1
2024-09-15 12:54,192.168.1.23,45.23.18.12,UDP,18000,0
